timestamp,equity,cash,fg,zone
2026-05-30 16:00:00+00:00,10049.349829745868,7465.557869355546,35,fear
2026-05-30 20:00:00+00:00,10040.82222703657,7465.557869355546,35,fear
2026-05-31 00:00:00+00:00,10117.104857994955,4936.281654856808,35,fear
2026-05-31 04:00:00+00:00,9980.11964134183,4936.281654856808,35,fear
2026-05-31 08:00:00+00:00,10007.969593656224,4936.281654856808,35,fear
2026-05-31 12:00:00+00:00,9979.231682557669,4936.281654856808,35,fear
2026-05-31 16:00:00+00:00,9902.284431682601,4936.281654856808,35,fear
2026-05-31 20:00:00+00:00,9925.906412905833,4936.281654856808,35,fear
2026-06-01 00:00:00+00:00,9888.018788280493,7457.478144939804,31,fear
2026-06-01 04:00:00+00:00,9822.195074175124,9822.195074175124,31,fear
2026-06-01 08:00:00+00:00,9822.195074175124,9822.195074175124,31,fear
2026-06-01 12:00:00+00:00,9822.195074175124,9822.195074175124,31,fear
2026-06-01 16:00:00+00:00,9822.195074175124,9822.195074175124,31,fear
2026-06-01 20:00:00+00:00,9822.195074175124,9822.195074175124,31,fear
2026-06-02 00:00:00+00:00,9822.195074175124,9822.195074175124,25,extreme_fear
2026-06-02 04:00:00+00:00,9822.195074175124,9822.195074175124,25,extreme_fear
2026-06-02 08:00:00+00:00,9822.195074175124,9822.195074175124,25,extreme_fear
2026-06-02 12:00:00+00:00,9822.195074175124,9822.195074175124,25,extreme_fear
2026-06-02 16:00:00+00:00,9822.195074175124,9822.195074175124,25,extreme_fear
2026-06-02 20:00:00+00:00,9822.195074175124,9822.195074175124,25,extreme_fear
2026-06-03 00:00:00+00:00,9822.195074175124,9822.195074175124,23,extreme_fear
2026-06-03 04:00:00+00:00,9822.195074175124,9822.195074175124,23,extreme_fear
2026-06-03 08:00:00+00:00,9822.195074175124,9822.195074175124,23,extreme_fear
2026-06-03 12:00:00+00:00,9822.195074175124,9822.195074175124,23,extreme_fear
2026-06-03 16:00:00+00:00,9822.195074175124,9822.195074175124,23,extreme_fear
2026-06-03 20:00:00+00:00,9822.195074175124,9822.195074175124,23,extreme_fear
2026-06-04 00:00:00+00:00,9822.195074175124,9822.195074175124,20,extreme_fear
2026-06-04 04:00:00+00:00,9822.195074175124,9822.195074175124,20,extreme_fear
2026-06-04 08:00:00+00:00,9822.195074175124,9822.195074175124,20,extreme_fear
2026-06-04 12:00:00+00:00,9822.195074175124,9822.195074175124,20,extreme_fear
2026-06-04 16:00:00+00:00,9822.195074175124,9822.195074175124,20,extreme_fear
2026-06-04 20:00:00+00:00,9822.195074175124,9822.195074175124,20,extreme_fear
2026-06-05 00:00:00+00:00,9822.195074175124,9822.195074175124,16,extreme_fear
2026-06-05 04:00:00+00:00,9822.195074175124,9822.195074175124,16,extreme_fear
2026-06-05 08:00:00+00:00,9822.195074175124,9822.195074175124,16,extreme_fear
2026-06-05 12:00:00+00:00,9822.195074175124,9822.195074175124,16,extreme_fear
2026-06-05 16:00:00+00:00,9822.195074175124,9822.195074175124,16,extreme_fear
2026-06-05 20:00:00+00:00,9822.195074175124,9822.195074175124,16,extreme_fear
2026-06-06 00:00:00+00:00,9822.195074175124,9822.195074175124,13,extreme_fear
2026-06-06 04:00:00+00:00,9822.195074175124,9822.195074175124,13,extreme_fear
2026-06-06 08:00:00+00:00,9822.195074175124,9822.195074175124,13,extreme_fear
2026-06-06 12:00:00+00:00,9822.195074175124,9822.195074175124,13,extreme_fear
2026-06-06 16:00:00+00:00,9822.195074175124,9822.195074175124,13,extreme_fear
2026-06-06 20:00:00+00:00,9822.195074175124,9822.195074175124,13,extreme_fear
2026-06-07 00:00:00+00:00,9822.195074175124,9822.195074175124,15,extreme_fear
2026-06-07 04:00:00+00:00,9822.195074175124,9822.195074175124,15,extreme_fear
2026-06-07 08:00:00+00:00,9822.195074175124,9822.195074175124,15,extreme_fear
2026-06-07 12:00:00+00:00,9822.195074175124,9822.195074175124,15,extreme_fear
2026-06-07 16:00:00+00:00,9822.195074175124,9822.195074175124,15,extreme_fear
2026-06-07 20:00:00+00:00,9822.195074175124,9822.195074175124,15,extreme_fear
2026-06-08 00:00:00+00:00,9822.195074175124,9822.195074175124,15,extreme_fear
2026-06-08 04:00:00+00:00,9822.195074175124,9822.195074175124,15,extreme_fear
2026-06-08 08:00:00+00:00,9822.195074175124,9822.195074175124,15,extreme_fear
2026-06-08 12:00:00+00:00,9822.195074175124,9822.195074175124,15,extreme_fear
2026-06-08 16:00:00+00:00,9822.195074175124,9822.195074175124,15,extreme_fear
2026-06-08 20:00:00+00:00,9822.195074175124,9822.195074175124,15,extreme_fear
2026-06-09 00:00:00+00:00,9822.195074175124,9822.195074175124,14,extreme_fear
2026-06-09 04:00:00+00:00,9822.195074175124,9822.195074175124,14,extreme_fear
2026-06-09 08:00:00+00:00,9822.195074175124,9822.195074175124,14,extreme_fear
2026-06-09 12:00:00+00:00,9822.195074175124,9822.195074175124,14,extreme_fear
2026-06-09 16:00:00+00:00,9822.195074175124,9822.195074175124,14,extreme_fear
2026-06-09 20:00:00+00:00,9822.195074175124,9822.195074175124,14,extreme_fear
2026-06-10 00:00:00+00:00,9822.195074175124,9822.195074175124,14,extreme_fear
2026-06-10 04:00:00+00:00,9822.195074175124,9822.195074175124,14,extreme_fear
2026-06-10 08:00:00+00:00,9822.195074175124,9822.195074175124,14,extreme_fear
2026-06-10 12:00:00+00:00,9822.195074175124,9822.195074175124,14,extreme_fear
2026-06-10 16:00:00+00:00,9822.195074175124,9822.195074175124,14,extreme_fear
2026-06-10 20:00:00+00:00,9822.195074175124,9822.195074175124,14,extreme_fear
2026-06-11 00:00:00+00:00,9822.195074175124,9822.195074175124,16,extreme_fear
2026-06-11 04:00:00+00:00,9822.195074175124,9822.195074175124,16,extreme_fear
2026-06-11 08:00:00+00:00,9822.195074175124,9822.195074175124,16,extreme_fear
2026-06-11 12:00:00+00:00,9822.195074175124,9822.195074175124,16,extreme_fear
2026-06-11 16:00:00+00:00,9822.195074175124,9822.195074175124,16,extreme_fear
2026-06-11 20:00:00+00:00,9822.195074175124,9822.195074175124,16,extreme_fear
2026-06-12 00:00:00+00:00,9822.195074175124,9822.195074175124,18,extreme_fear
2026-06-12 04:00:00+00:00,9822.195074175124,9822.195074175124,18,extreme_fear
2026-06-12 08:00:00+00:00,9822.195074175124,9822.195074175124,18,extreme_fear
2026-06-12 12:00:00+00:00,9822.195074175124,9822.195074175124,18,extreme_fear
2026-06-12 16:00:00+00:00,9822.195074175124,9822.195074175124,18,extreme_fear
2026-06-12 20:00:00+00:00,9822.195074175124,9822.195074175124,18,extreme_fear
2026-06-13 00:00:00+00:00,9822.195074175124,9822.195074175124,20,extreme_fear
2026-06-13 04:00:00+00:00,9822.195074175124,9822.195074175124,20,extreme_fear
2026-06-13 08:00:00+00:00,9822.195074175124,9822.195074175124,20,extreme_fear
2026-06-13 12:00:00+00:00,9822.195074175124,9822.195074175124,20,extreme_fear
2026-06-13 16:00:00+00:00,9822.195074175124,9822.195074175124,20,extreme_fear
2026-06-13 20:00:00+00:00,9822.195074175124,9822.195074175124,20,extreme_fear
2026-06-14 00:00:00+00:00,9822.195074175124,9822.195074175124,20,extreme_fear
