symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl_usd,pnl_pct,exit_reason,fg_at_entry,fg_at_exit
BTCUSDT,2023-10-06 11:00:00+00:00,2023-10-06 12:00:00+00:00,27760.0,27252.99,0.23086925764350832,-117.053,-1.8264,ema_cross_down,43,43
CAKEUSDT,2023-10-06 20:00:00+00:00,2023-10-07 22:00:00+00:00,1.193,1.184,5349.3291401772785,-48.144,-0.7544,ema_cross_down,43,46
BTCUSDT,2023-10-06 15:00:00+00:00,2023-10-08 04:00:00+00:00,27941.12,27924.19,0.22832539771506413,-3.8655,-0.0606,trail_stop,43,46
BNBUSDT,2023-10-20 04:00:00+00:00,2023-10-20 15:00:00+00:00,212.8,212.8,29.90062553174354,0.0,0.0,trail_stop,49,49
ETHUSDT,2023-10-20 03:00:00+00:00,2023-10-22 15:00:00+00:00,1586.72,1625.75,4.012469092715227,156.6067,2.4598,trail_stop,49,54
BNBUSDT,2023-10-26 08:00:00+00:00,2023-10-26 14:00:00+00:00,227.4,222.2,56.339636112271535,-292.9661,-2.2867,ema_cross_down,72,72
BNBUSDT,2023-10-27 11:00:00+00:00,2023-10-27 17:00:00+00:00,227.6,223.3,55.64652986835958,-239.2801,-1.8893,trail_stop,71,71
BTCUSDT,2023-10-28 10:00:00+00:00,2023-10-30 02:00:00+00:00,34100.82,34324.58,0.36789467698494255,82.3201,0.6562,trail_stop,71,72
ETHUSDT,2023-10-29 13:00:00+00:00,2023-10-30 03:00:00+00:00,1792.86,1782.9,6.9974845547458635,-69.6949,-0.5555,trail_stop,71,72
BTCUSDT,2023-10-31 16:00:00+00:00,2023-11-01 14:00:00+00:00,34425.6,34183.96,0.36460723247234933,-88.1037,-0.7019,trail_stop,72,72
CAKEUSDT,2023-11-01 19:00:00+00:00,2023-11-02 05:00:00+00:00,1.301,1.376,9613.966868849193,721.0475,5.7648,trail_stop,72,74
ETHUSDT,2023-11-01 17:00:00+00:00,2023-11-02 13:00:00+00:00,1807.52,1823.6,6.919852005163317,111.2712,0.8896,trail_stop,72,74
BTCUSDT,2023-11-04 10:00:00+00:00,2023-11-05 13:00:00+00:00,34729.94,34831.04,0.37212647830880663,37.622,0.2911,trail_stop,72,72
ETHUSDT,2023-11-03 22:00:00+00:00,2023-11-07 02:00:00+00:00,1831.2,1880.52,7.0576290214483155,348.0823,2.6933,trail_stop,72,73
BTCUSDT,2023-11-07 19:00:00+00:00,2023-11-09 15:00:00+00:00,35453.98,37084.02,0.3699664294170522,603.0601,4.5976,trail_stop,73,74
ETHUSDT,2023-11-07 19:00:00+00:00,2023-11-11 01:00:00+00:00,1894.22,2048.44,6.924635147566587,1067.9172,8.1416,trail_stop,73,78
BNBUSDT,2023-11-11 14:00:00+00:00,2023-11-11 21:00:00+00:00,252.7,251.1,55.2127860892597,-88.3405,-0.6332,trail_stop,78,78
CAKEUSDT,2023-11-11 16:00:00+00:00,2023-11-12 00:00:00+00:00,2.339,2.178,5965.058163640841,-960.3744,-6.8833,trail_stop,78,77
ETHUSDT,2023-11-13 09:00:00+00:00,2023-11-13 21:00:00+00:00,2055.27,2058.98,6.533406138225844,24.2389,0.1805,trail_stop,76,76
CAKEUSDT,2023-11-14 09:00:00+00:00,2023-11-16 00:00:00+00:00,2.23,2.643,6026.9206735864755,2489.1182,18.5202,trail_stop,75,77
BNBUSDT,2023-11-15 12:00:00+00:00,2023-11-16 12:00:00+00:00,250.7,250.7,53.61002434023869,0.0,0.0,trail_stop,71,77
CAKEUSDT,2023-11-19 19:00:00+00:00,2023-11-21 09:00:00+00:00,2.518,2.579,5831.847585859192,355.7427,2.4226,trail_stop,72,74
BTCUSDT,2023-11-18 17:00:00+00:00,2023-11-21 13:00:00+00:00,36620.0,37011.88,0.40099924143073307,157.1436,1.0701,trail_stop,72,74
ETHUSDT,2023-11-22 12:00:00+00:00,2023-11-23 12:00:00+00:00,2022.18,2056.88,7.3885783480837945,256.3837,1.716,trail_stop,67,73
BTCUSDT,2023-11-22 21:00:00+00:00,2023-11-23 13:00:00+00:00,37607.08,37238.0,0.3972931523513149,-146.633,-0.9814,trail_stop,67,73
CAKEUSDT,2023-11-25 23:00:00+00:00,2023-11-26 03:00:00+00:00,2.418,2.389,6201.782762585784,-179.8517,-1.1993,ema_cross_down,73,73
ETHUSDT,2023-11-28 21:00:00+00:00,2023-11-29 10:00:00+00:00,2053.64,2048.12,7.232952836774309,-39.9259,-0.2688,trail_stop,69,71
BTCUSDT,2023-11-28 17:00:00+00:00,2023-11-29 14:00:00+00:00,38210.75,37823.81,0.39009924876834223,-150.945,-1.0126,trail_stop,69,71
ETHUSDT,2023-11-30 23:00:00+00:00,2023-12-01 14:00:00+00:00,2051.96,2078.5,7.217757372651623,191.5593,1.2934,trail_stop,70,70
BTCUSDT,2023-12-01 01:00:00+00:00,2023-12-01 14:00:00+00:00,37946.02,38324.57,0.39030574005880525,147.7502,0.9976,trail_stop,70,70
CAKEUSDT,2023-12-05 13:00:00+00:00,2023-12-06 04:00:00+00:00,2.402,2.53,6236.554611853015,798.279,5.3289,trail_stop,79,82
BNBUSDT,2023-12-07 03:00:00+00:00,2023-12-07 08:00:00+00:00,232.7,230.5,66.09086236712305,-145.3999,-0.9454,trail_stop,81,81
CAKEUSDT,2023-12-08 03:00:00+00:00,2023-12-08 07:00:00+00:00,2.471,2.436,6194.51385035439,-216.808,-1.4164,trail_stop,81,81
BNBUSDT,2023-12-11 15:00:00+00:00,2023-12-11 18:00:00+00:00,244.3,240.2,62.21137835384567,-255.0667,-1.6783,trail_stop,80,80
CAKEUSDT,2023-12-12 05:00:00+00:00,2023-12-12 17:00:00+00:00,2.494,2.46,6042.785247080638,-205.4547,-1.3633,trail_stop,74,74
BTCUSDT,2023-12-13 20:00:00+00:00,2023-12-14 13:00:00+00:00,42874.87,42570.12,0.3491084417753043,-106.3908,-0.7108,trail_stop,73,76
ETHUSDT,2023-12-13 23:00:00+00:00,2023-12-15 05:00:00+00:00,2260.16,2265.48,6.622079702485115,35.2295,0.2354,trail_stop,73,77
BTCUSDT,2023-12-18 23:00:00+00:00,2023-12-19 14:00:00+00:00,42657.8,42367.03,0.3500508322091585,-101.7843,-0.6816,trail_stop,70,72
BNBUSDT,2023-12-19 04:00:00+00:00,2023-12-20 20:00:00+00:00,246.3,256.8,60.626871255427695,636.5821,4.2631,trail_stop,72,71
BNBUSDT,2023-12-26 07:00:00+00:00,2023-12-27 02:00:00+00:00,273.0,286.8,55.676913274952774,768.3414,5.0549,trail_stop,73,70
ETHUSDT,2023-12-27 14:00:00+00:00,2023-12-28 06:00:00+00:00,2326.66,2374.19,6.697999718763928,318.3559,2.0428,trail_stop,70,73
BTCUSDT,2023-12-27 20:00:00+00:00,2023-12-28 08:00:00+00:00,43445.32,42931.1,0.35870303235559736,-184.4523,-1.1836,trail_stop,70,73
CAKEUSDT,2023-12-30 07:00:00+00:00,2023-12-30 08:00:00+00:00,3.581,3.52,4370.544499393119,-266.6032,-1.7034,ema_cross_down,68,68
CAKEUSDT,2023-12-30 10:00:00+00:00,2023-12-30 20:00:00+00:00,3.626,3.518,4242.7789955498565,-458.2201,-2.9785,trail_stop,68,68
BNBUSDT,2023-12-30 05:00:00+00:00,2023-12-31 12:00:00+00:00,317.4,316.2,49.30976639044348,-59.1717,-0.3781,trail_stop,68,68
CAKEUSDT,2023-12-31 04:00:00+00:00,2023-12-31 15:00:00+00:00,3.587,3.53,4161.164345231222,-237.1864,-1.5891,ema_cross_down,68,68
ETHUSDT,2024-01-01 17:00:00+00:00,2024-01-02 14:00:00+00:00,2313.76,2367.28,6.543603976065892,350.2137,2.3131,trail_stop,68,73
BNBUSDT,2024-01-02 04:00:00+00:00,2024-01-02 14:00:00+00:00,318.9,312.0,47.476729807658266,-327.5894,-2.1637,trail_stop,73,73
CAKEUSDT,2024-01-03 03:00:00+00:00,2024-01-03 11:00:00+00:00,3.545,3.511,4274.087802602347,-145.319,-0.9591,trail_stop,74,74
BNBUSDT,2024-01-03 07:00:00+00:00,2024-01-03 12:00:00+00:00,316.8,316.2,47.82715044263043,-28.6963,-0.1894,trail_stop,74,74
BTCUSDT,2024-01-04 22:00:00+00:00,2024-01-05 16:00:00+00:00,44318.0,43225.99,0.33992133269660846,-371.1975,-2.464,ema_cross_down,67,70
BTCUSDT,2024-01-05 21:00:00+00:00,2024-01-06 12:00:00+00:00,43946.26,43607.96,0.33857340477185727,-114.5394,-0.7698,ema_cross_down,70,70
BTCUSDT,2024-01-06 15:00:00+00:00,2024-01-07 16:00:00+00:00,43867.17,43922.0,0.33787830816923276,18.5259,0.125,trail_stop,70,68
ETHUSDT,2024-01-08 15:00:00+00:00,2024-01-09 08:00:00+00:00,2269.59,2291.28,6.534672834120074,141.7371,0.9557,trail_stop,67,74
BTCUSDT,2024-01-08 11:00:00+00:00,2024-01-09 21:00:00+00:00,44635.99,45439.44,0.3322661403408008,266.9592,1.8,trail_stop,67,74
